id,title,url,download_link
1,Utah FORGE: Final Topical Report 2018,https://gdr.openei.org/submissions/1038,https://gdr.openei.org/files/1038/Utah%20FORGE%20Phase%202B%20Topical%20Report.pdf
2,Utah FORGE: Phase 2C Topical Microseismic Report,https://gdr.openei.org/submissions/1187,https://gdr.openei.org/files/1187/LANL_UU_report_modeling_Utah_FORGE_MEQ_monitoring.pdf
3,Utah FORGE: Phase 3A Year 1 Annual Report for 2020,https://gdr.openei.org/submissions/1409,https://gdr.openei.org/files/1409/Phase3AYr1%20Annual%20Report.pdf
4,"Utah FORGE: Phase 3A, Year 2, Annual Report",https://gdr.openei.org/submissions/1401,https://gdr.openei.org/files/1401/Annual%20Report%20Phase%203A%20Yr2%20Final%20Jul%2029-2022.pdf
5,Utah FORGE: 2023 Phase 3B Year 1 Annual Report,https://gdr.openei.org/submissions/1523,https://gdr.openei.org/files/1523/2023%20Annual%20Report%20Phase%203B%20and%20Appendices%20for%20GDR.pdf
6,Utah FORGE: 2024 Annual Report on Activities and Advancements,https://gdr.openei.org/submissions/1707,https://gdr.openei.org/files/1707/2024%20Annual%20Report%20Phase%203B%20With%20Appendices-updt2025logo.pdf
7,"Geothermal characteristics of the Roosevelt Hot Springs system and the adjacent Utah FORGE EGS site near Milford, Utah",https://openei.org/wiki/R%26D_Reports,https://ugspub.nr.utah.gov/publications/misc_pubs/mp-169/mp-169.pdf
8,"Utah FORGE: NEPA, Summary of environmental impacts for the Utah FORGE site",https://gdr.openei.org/submissions/907,https://gdr.openei.org/files/907/Task2A-2-%20NEPA%20Summary%20of%20Environmental%20Impacts_Milford_UT.pdf
9,Utah FORGE: Preliminary Seismic Monitoring,https://gdr.openei.org/submissions/907,https://gdr.openei.org/files/907/Prelim_Seismic_Utah_FORGE.pdf
10,"Utah FORGE: Techno-economic infrastructure assessment; analysis, budget, schedules, and cost summaries for the Utah FORGE project",https://gdr.openei.org/submissions/907,https://gdr.openei.org/files/907/Task2A-5-Techno-economic%20Infrastructure%20Assessment_Milford_UT.pdf
11,Utah FORGE: 2019 ARMA Overview Slide Presentation,https://gdr.openei.org/submissions/1209,https://gdr.openei.org/files/1209/ARMA2019_JMoore-FORGE.pdf
12,Utah FORGE: Report on the Thermal Properties of Wells 16A(78)-32 & 58-32 Granite,https://gdr.openei.org/submissions/1407,https://gdr.openei.org/files/1407/MetaRock-Univ%20of%20Utah%20-Update%205.4.2021.pdf
13,Utah FORGE: Mineral Mountains West Fault System Report,https://gdr.openei.org/submissions/1150,https://gdr.openei.org/files/1150/Mineral%20Mountains%20West%20fault%20system%20REPORT.pdf
14,Utah FORGE: Evaluation of Potential Geochemical Responses to Injection in the FORGE Geothermal Reservoir,https://gdr.openei.org/submissions/1247,https://gdr.openei.org/files/1247/Patil_FORGE_FinalReport_042019.pdf
15,Utah FORGE: 2022 Seismic Workshop Report,https://gdr.openei.org/submissions/1460,https://gdr.openei.org/files/1460/Utah%20FORGE%20Sept2022%20Seismic%20Workshop%20Report.pdf
16,Utah FORGE: Borehole PSS Tools Status Report,https://gdr.openei.org/submissions/1469,https://gdr.openei.org/files/1469/Utah%20FORGE%20PSS%20Tools%20Status%20Report%201.pdf
17,Utah FORGE: Orientation of Borehole and Surface Seismic Stations,https://gdr.openei.org/submissions/1508,https://gdr.openei.org/files/1508/Orientation_Final_Final.pdf
18,Utah FORGE: Report on the Thermal Properties of Wells 16A(78)-32 & 58-32 Granite,https://gdr.openei.org/submissions/1407,https://gdr.openei.org/files/1407/MetaRock-Univ%20of%20Utah%20-Update%205.4.2021.pdf
19,Utah FORGE: Hydraulic Fracture Width Determination Using Stoneley Wave Pressure Testing and Electrical Borehole Scans,https://gdr.openei.org/submissions/1557,https://gdr.openei.org/files/1557/Hornby_SEG_image2022-3746406.1.pdf
20,Utah FORGE 2-2404: Determination of Reservoir-Scale Stress State Presentation Slides,https://gdr.openei.org/submissions/1467,https://gdr.openei.org/files/1467/OU-2-2404-Stress-State-Wellbore.pptx
21,Utah FORGE 3-2535: Report on Borehole EM Data Collection and Imaging with the VEMP Field System,https://data.openei.org/submissions/7713,https://gdr.openei.org/files/1643/forge%20Milestone%207.3.1%20Report.docx
22,Utah FORGE: Deep Wells Temperature Surveys as of September 2022,https://gdr.openei.org/submissions/1421,https://gdr.openei.org/files/1421/Utah%20FORGE%20Deep%20Well%20Temperature%20Profiles_Sept%202022.xlsx
